issue_id,customer_id,issue_date,issue_month,issue_year,issue_type,resolution_time_hrs,resolved,city
20031,220,2022-11-30,November,2022,Slow Internet,62,Yes,bangalore
20032,256,2024-03-02,March,2024,Slow Internet,24,Yes,kolkata
20033,137,2023-07-09,July,2023,Call Drop,6,Yes,delhi
20034,231,2024-05-12,May,2024,No Signal,40,Yes,delhi
20035,306,2023-05-27,May,2023,No Signal,70,Yes,bangalore
20036,202,2023-01-17,January,2023,No Signal,58,Yes,chennai
20037,66,2023-02-27,February,2023,Slow Internet,14,Yes,hyderabad
20038,461,2022-12-14,December,2022,No Signal,45,Yes,chennai
20039,38,2022-06-02,June,2022,Call Drop,6,Yes,mumbai
20040,155,2024-04-30,April,2024,No Signal,23,Yes,mumbai
20041,105,2023-03-28,March,2023,Slow Internet,62,Yes,kolkata
20042,255,2022-10-17,October,2022,Slow Internet,17,Yes,delhi
20043,404,2024-01-06,January,2024,No Signal,70,No,hyderabad
20044,488,2022-04-29,April,2022,No Signal,28,No,hyderabad
20045,446,2022-08-02,August,2022,Slow Internet,13,Yes,kolkata
20046,458,2023-07-19,July,2023,No Signal,29,Yes,hyderabad
20047,16,2024-01-02,January,2024,Call Drop,45,Yes,bangalore
20048,79,2023-03-15,March,2023,Slow Internet,20,Yes,delhi
20049,13,2024-01-25,January,2024,No Signal,58,Yes,kolkata
20050,370,2023-07-19,July,2023,No Signal,54,Yes,kolkata
20051,102,2023-09-21,September,2023,No Signal,64,Yes,delhi
20052,404,2023-03-23,March,2023,Call Drop,52,Yes,hyderabad
20053,152,2024-04-22,April,2024,Slow Internet,43,Yes,bangalore
20054,489,2022-02-11,February,2022,Call Drop,18,Yes,chennai
20055,178,2023-01-30,January,2023,No Signal,54,Yes,chennai
20056,391,2022-09-04,September,2022,Call Drop,60,Yes,chennai
20057,87,2022-10-18,October,2022,No Signal,71,No,hyderabad
20058,88,2022-09-05,September,2022,No Signal,1,Yes,mumbai
20059,29,2023-09-05,September,2023,Slow Internet,37,Yes,kolkata
20060,389,2023-08-22,August,2023,Slow Internet,49,No,bangalore
20061,363,2024-05-14,May,2024,No Signal,35,Yes,delhi
20062,493,2023-03-25,March,2023,No Signal,67,Yes,kolkata
20063,419,2022-03-25,March,2022,No Signal,35,Yes,kolkata
20064,321,2024-02-12,February,2024,Slow Internet,9,Yes,hyderabad
20065,100,2022-08-09,August,2022,Slow Internet,37,Yes,mumbai
20066,115,2023-10-28,October,2023,No Signal,60,Yes,bangalore
20067,210,2022-02-20,February,2022,Slow Internet,56,Yes,kolkata
20068,454,2023-07-04,July,2023,No Signal,12,No,chennai
20069,343,2024-02-10,February,2024,Call Drop,71,Yes,delhi
20070,74,2022-07-06,July,2022,Slow Internet,71,No,hyderabad
20071,135,2023-06-09,June,2023,No Signal,4,Yes,chennai
20072,428,2022-08-11,August,2022,Call Drop,61,No,bangalore
20073,456,2023-04-10,April,2023,No Signal,45,Yes,kolkata
20074,269,2023-02-23,February,2023,Call Drop,50,Yes,chennai
20075,350,2022-03-28,March,2022,Slow Internet,50,Yes,delhi
20076,466,2022-09-16,September,2022,Slow Internet,48,Yes,kolkata
20077,78,2022-06-30,June,2022,No Signal,23,Yes,kolkata
20078,459,2022-11-07,November,2022,Slow Internet,8,Yes,chennai
20079,380,2022-06-22,June,2022,Slow Internet,29,Yes,delhi
20080,490,2022-11-18,November,2022,Call Drop,43,Yes,chennai
20081,125,2023-12-08,December,2023,Slow Internet,53,Yes,bangalore
20082,38,2022-12-06,December,2022,Call Drop,6,Yes,mumbai
20083,269,2023-05-11,May,2023,Call Drop,24,Yes,chennai
20084,310,2022-09-02,September,2022,Call Drop,14,Yes,kolkata
20085,106,2023-05-20,May,2023,Slow Internet,52,Yes,bangalore
20086,44,2022-11-25,November,2022,No Signal,70,Yes,mumbai
20087,225,2024-05-29,May,2024,No Signal,4,Yes,hyderabad
20088,242,2022-07-15,July,2022,Slow Internet,58,Yes,hyderabad
20089,397,2022-03-03,March,2022,Call Drop,37,Yes,bangalore
20090,153,2022-01-25,January,2022,Slow Internet,48,Yes,kolkata
20091,24,2023-07-18,July,2023,No Signal,39,Yes,kolkata
20092,124,2023-07-16,July,2023,Call Drop,66,Yes,kolkata
20093,285,2023-01-13,January,2023,Slow Internet,13,Yes,hyderabad
20094,484,2024-06-15,June,2024,Call Drop,66,Yes,hyderabad
20095,454,2022-10-22,October,2022,Call Drop,60,Yes,chennai
20096,402,2022-02-21,February,2022,No Signal,41,Yes,bangalore
20097,348,2024-04-23,April,2024,Call Drop,32,Yes,chennai
20098,261,2022-02-09,February,2022,Slow Internet,52,Yes,mumbai
20099,146,2024-01-14,January,2024,Call Drop,5,Yes,mumbai
20100,191,2023-07-26,July,2023,Call Drop,67,Yes,hyderabad
20101,381,2023-12-29,December,2023,Slow Internet,66,Yes,hyderabad
20102,165,2023-04-02,April,2023,No Signal,52,Yes,mumbai
20103,71,2024-05-27,May,2024,No Signal,49,Yes,hyderabad
20104,439,2024-05-01,May,2024,Slow Internet,29,Yes,chennai
20105,201,2023-12-10,December,2023,Call Drop,38,Yes,bangalore
20106,355,2024-02-27,February,2024,Slow Internet,70,Yes,bangalore
20107,12,2024-05-02,May,2024,Slow Internet,8,Yes,kolkata
20108,52,2022-01-02,January,2022,Slow Internet,59,Yes,chennai
20109,441,2023-04-14,April,2023,No Signal,55,Yes,kolkata
20110,256,2022-04-16,April,2022,Call Drop,2,Yes,kolkata
20111,302,2022-08-04,August,2022,Slow Internet,26,Yes,kolkata
20112,360,2024-02-16,February,2024,No Signal,63,No,hyderabad
20113,300,2023-11-10,November,2023,No Signal,17,Yes,mumbai
20114,487,2024-01-29,January,2024,Call Drop,59,Yes,bangalore
20115,408,2023-02-18,February,2023,Slow Internet,16,Yes,chennai
20116,9,2022-07-29,July,2022,Call Drop,58,Yes,bangalore
20117,140,2022-02-27,February,2022,Slow Internet,64,No,delhi
20118,100,2022-02-12,February,2022,No Signal,50,Yes,mumbai
20119,485,2022-05-18,May,2022,No Signal,26,Yes,delhi
20120,137,2023-09-13,September,2023,Call Drop,17,No,delhi
20121,359,2023-05-04,May,2023,Slow Internet,46,Yes,mumbai
20122,366,2023-07-14,July,2023,Call Drop,68,Yes,mumbai
20123,372,2023-09-30,September,2023,Slow Internet,50,No,chennai
20124,22,2023-04-14,April,2023,Call Drop,43,Yes,hyderabad
20125,145,2023-12-27,December,2023,No Signal,48,Yes,chennai
20126,161,2023-10-02,October,2023,Call Drop,68,Yes,bangalore
20127,249,2023-01-24,January,2023,Slow Internet,19,Yes,bangalore
20128,175,2022-07-17,July,2022,Call Drop,25,Yes,kolkata
20129,88,2022-07-21,July,2022,Slow Internet,18,Yes,mumbai
20130,399,2022-07-11,July,2022,Call Drop,51,Yes,hyderabad
20131,477,2022-04-17,April,2022,Slow Internet,18,Yes,delhi
20132,480,2023-12-07,December,2023,Slow Internet,58,Yes,hyderabad
20133,33,2022-11-23,November,2022,Slow Internet,64,Yes,kolkata
20134,477,2024-01-20,January,2024,Call Drop,71,Yes,delhi
20135,271,2023-10-06,October,2023,Call Drop,57,Yes,kolkata
20136,283,2022-12-23,December,2022,No Signal,17,Yes,hyderabad
20137,226,2023-08-18,August,2023,Slow Internet,59,Yes,chennai
20138,445,2023-05-16,May,2023,No Signal,67,Yes,chennai
20139,452,2022-10-11,October,2022,No Signal,15,No,delhi
20140,497,2023-04-13,April,2023,Slow Internet,26,Yes,kolkata
20141,112,2023-05-23,May,2023,No Signal,48,Yes,chennai
20142,82,2024-01-04,January,2024,Call Drop,14,Yes,chennai
20143,213,2022-04-16,April,2022,No Signal,9,Yes,hyderabad
20144,304,2022-10-21,October,2022,Call Drop,7,Yes,delhi
20145,8,2022-03-07,March,2022,Slow Internet,55,Yes,mumbai
20146,134,2022-07-14,July,2022,Slow Internet,12,Yes,mumbai
20147,447,2022-07-07,July,2022,Slow Internet,17,Yes,delhi
20148,118,2022-02-16,February,2022,No Signal,8,Yes,hyderabad
20149,84,2022-12-28,December,2022,Slow Internet,42,Yes,delhi
20150,258,2024-05-20,May,2024,Slow Internet,37,Yes,bangalore
20151,243,2023-06-21,June,2023,Call Drop,20,Yes,hyderabad
20152,237,2023-08-01,August,2023,No Signal,1,Yes,chennai
20153,150,2023-05-02,May,2023,No Signal,9,Yes,bangalore
20154,374,2024-04-26,April,2024,Slow Internet,24,Yes,mumbai
20155,21,2023-08-02,August,2023,No Signal,34,Yes,hyderabad
20156,134,2023-12-10,December,2023,Slow Internet,36,Yes,mumbai
20157,379,2022-09-03,September,2022,Call Drop,4,Yes,kolkata
20158,96,2024-03-18,March,2024,No Signal,29,Yes,hyderabad
20159,454,2023-09-04,September,2023,No Signal,16,Yes,chennai
20160,13,2022-06-27,June,2022,Call Drop,8,Yes,kolkata
20161,1,2022-04-25,April,2022,No Signal,39,Yes,kolkata
20162,150,2023-11-11,November,2023,Slow Internet,58,Yes,bangalore
20163,117,2023-09-23,September,2023,No Signal,12,Yes,kolkata
20164,152,2022-06-14,June,2022,No Signal,44,Yes,bangalore
20165,64,2022-08-07,August,2022,Call Drop,4,Yes,bangalore
20166,425,2022-07-16,July,2022,Call Drop,25,Yes,hyderabad
20167,478,2023-02-05,February,2023,Slow Internet,70,Yes,chennai
20168,150,2024-04-09,April,2024,No Signal,67,Yes,bangalore
20169,317,2024-01-19,January,2024,No Signal,39,Yes,delhi
20170,364,2023-11-12,November,2023,Call Drop,24,Yes,delhi
20171,12,2022-03-17,March,2022,Slow Internet,6,Yes,kolkata
20172,90,2023-03-02,March,2023,No Signal,33,Yes,mumbai
20173,388,2022-10-14,October,2022,Slow Internet,48,Yes,chennai
20174,83,2023-06-29,June,2023,No Signal,67,Yes,bangalore
20175,464,2022-10-26,October,2022,Call Drop,2,No,delhi
20176,250,2024-05-10,May,2024,Call Drop,38,Yes,mumbai
20177,384,2024-01-12,January,2024,Call Drop,40,Yes,chennai
20178,396,2023-12-08,December,2023,Call Drop,56,Yes,kolkata
20179,33,2022-10-21,October,2022,Call Drop,21,Yes,kolkata
20180,149,2024-03-19,March,2024,Call Drop,35,Yes,chennai
20181,128,2024-06-04,June,2024,Slow Internet,67,Yes,bangalore
20182,100,2023-03-23,March,2023,Call Drop,60,Yes,mumbai
20183,457,2023-02-18,February,2023,Slow Internet,23,Yes,delhi
20184,487,2023-03-07,March,2023,Call Drop,65,Yes,bangalore
20185,362,2024-02-29,February,2024,No Signal,63,Yes,delhi
20186,493,2022-08-18,August,2022,No Signal,23,No,kolkata
20187,328,2022-04-06,April,2022,No Signal,42,Yes,kolkata
20188,212,2024-06-13,June,2024,Slow Internet,64,Yes,delhi
20189,74,2023-03-15,March,2023,Call Drop,66,Yes,hyderabad
20190,96,2022-06-20,June,2022,Slow Internet,41,Yes,hyderabad
20191,92,2022-11-13,November,2022,Call Drop,20,Yes,chennai
20192,330,2024-04-21,April,2024,No Signal,9,Yes,mumbai
20193,328,2023-06-28,June,2023,Slow Internet,57,Yes,kolkata
20194,436,2023-05-06,May,2023,Call Drop,17,Yes,delhi
20195,175,2023-01-23,January,2023,Slow Internet,18,Yes,kolkata
20196,225,2023-07-11,July,2023,Slow Internet,63,Yes,hyderabad
20197,315,2022-03-13,March,2022,No Signal,26,Yes,kolkata
20198,175,2023-06-16,June,2023,No Signal,13,Yes,kolkata
20199,56,2022-08-27,August,2022,No Signal,17,Yes,chennai
20200,497,2023-12-12,December,2023,No Signal,26,Yes,kolkata
20201,269,2023-07-31,July,2023,No Signal,6,Yes,chennai
20202,428,2023-12-01,December,2023,Call Drop,4,Yes,bangalore
20203,35,2022-03-30,March,2022,Call Drop,7,Yes,chennai
20204,119,2023-12-14,December,2023,No Signal,17,No,kolkata
20205,371,2023-06-19,June,2023,No Signal,50,Yes,delhi
20206,413,2024-03-18,March,2024,No Signal,6,Yes,kolkata
20207,56,2023-10-04,October,2023,Slow Internet,30,Yes,chennai
20208,389,2022-06-03,June,2022,No Signal,56,Yes,bangalore
20209,451,2023-08-13,August,2023,Call Drop,39,Yes,delhi
20210,309,2022-07-09,July,2022,Call Drop,14,Yes,mumbai
20211,357,2024-03-22,March,2024,Slow Internet,54,No,bangalore
20212,376,2023-02-19,February,2023,Call Drop,22,Yes,hyderabad
20213,316,2022-06-03,June,2022,No Signal,57,Yes,hyderabad
20214,105,2023-09-17,September,2023,Slow Internet,41,Yes,kolkata
20215,390,2022-12-05,December,2022,Slow Internet,10,Yes,bangalore
20216,176,2023-09-21,September,2023,Call Drop,2,Yes,chennai
20217,106,2023-06-01,June,2023,No Signal,67,No,bangalore
20218,80,2024-06-07,June,2024,No Signal,48,No,kolkata
20219,163,2024-04-17,April,2024,No Signal,42,No,hyderabad
20220,402,2022-02-04,February,2022,Slow Internet,11,Yes,bangalore
20221,267,2024-02-23,February,2024,Call Drop,12,Yes,chennai
20222,51,2023-11-02,November,2023,Call Drop,14,Yes,kolkata
20223,377,2023-12-23,December,2023,Call Drop,30,Yes,mumbai
20224,279,2023-06-10,June,2023,No Signal,60,Yes,delhi
20225,303,2023-06-21,June,2023,Slow Internet,30,Yes,bangalore
20226,75,2024-04-26,April,2024,Slow Internet,38,Yes,mumbai
20227,443,2022-08-06,August,2022,Call Drop,65,No,delhi
20228,441,2022-09-11,September,2022,Call Drop,47,Yes,kolkata
20229,349,2022-07-22,July,2022,Slow Internet,39,Yes,kolkata
20230,127,2022-04-11,April,2022,Call Drop,49,Yes,delhi
20231,246,2022-12-27,December,2022,Slow Internet,58,Yes,bangalore
20232,312,2024-01-11,January,2024,Slow Internet,17,Yes,hyderabad
20233,234,2023-12-12,December,2023,Call Drop,6,Yes,hyderabad
20234,155,2022-06-27,June,2022,Slow Internet,15,No,mumbai
20235,73,2022-10-03,October,2022,Slow Internet,67,Yes,kolkata
20236,419,2022-11-08,November,2022,Call Drop,28,Yes,kolkata
20237,439,2023-10-04,October,2023,Call Drop,44,Yes,chennai
20238,137,2023-02-14,February,2023,Call Drop,18,No,delhi
20239,274,2024-03-01,March,2024,Slow Internet,32,Yes,delhi
20240,44,2022-10-15,October,2022,Call Drop,69,Yes,mumbai
20241,247,2023-10-15,October,2023,Call Drop,44,Yes,chennai
20242,149,2023-06-09,June,2023,Slow Internet,70,Yes,chennai
20243,56,2023-02-05,February,2023,Slow Internet,63,Yes,chennai
20244,176,2022-08-05,August,2022,Call Drop,58,Yes,chennai
20245,356,2023-11-29,November,2023,Call Drop,47,No,bangalore
20246,257,2023-04-15,April,2023,Slow Internet,17,Yes,kolkata
20247,411,2022-01-27,January,2022,Slow Internet,39,Yes,hyderabad
20248,301,2023-12-31,December,2023,No Signal,59,No,delhi
20249,63,2023-02-26,February,2023,Slow Internet,7,Yes,kolkata
20250,314,2022-01-14,January,2022,Slow Internet,63,Yes,chennai
20251,424,2023-05-16,May,2023,No Signal,57,Yes,hyderabad
20252,63,2023-10-16,October,2023,Call Drop,34,Yes,kolkata
20253,294,2022-11-21,November,2022,No Signal,53,Yes,hyderabad
20254,29,2022-11-20,November,2022,Slow Internet,66,Yes,kolkata
20255,40,2023-07-21,July,2023,No Signal,48,Yes,chennai
20256,147,2023-12-04,December,2023,No Signal,60,No,bangalore
20257,88,2022-10-12,October,2022,No Signal,43,Yes,mumbai
20258,56,2022-03-30,March,2022,No Signal,4,Yes,chennai
20259,300,2022-02-14,February,2022,No Signal,52,Yes,mumbai
20260,193,2023-10-06,October,2023,No Signal,32,Yes,bangalore
20261,100,2023-05-13,May,2023,Call Drop,51,Yes,mumbai
20262,215,2023-05-13,May,2023,No Signal,10,Yes,bangalore
20263,141,2023-08-01,August,2023,No Signal,12,Yes,hyderabad
20264,414,2024-03-01,March,2024,No Signal,39,Yes,delhi
20265,49,2024-04-15,April,2024,No Signal,68,No,chennai
20266,499,2023-10-22,October,2023,Slow Internet,10,Yes,delhi
20267,115,2022-05-25,May,2022,No Signal,10,No,bangalore
20268,229,2023-06-02,June,2023,No Signal,23,Yes,hyderabad
20269,252,2022-03-23,March,2022,No Signal,13,Yes,hyderabad
20270,75,2023-09-27,September,2023,Call Drop,48,Yes,mumbai
20271,191,2022-06-16,June,2022,No Signal,44,Yes,hyderabad
20272,199,2024-01-19,January,2024,Slow Internet,64,Yes,kolkata
20273,163,2022-04-15,April,2022,Call Drop,40,Yes,hyderabad
20274,139,2024-03-12,March,2024,Slow Internet,6,Yes,chennai
20275,49,2023-05-03,May,2023,Call Drop,43,Yes,chennai
20276,363,2024-01-20,January,2024,Call Drop,32,Yes,delhi
20277,367,2022-11-06,November,2022,No Signal,49,Yes,kolkata
20278,115,2022-03-23,March,2022,No Signal,19,Yes,bangalore
20279,168,2022-04-04,April,2022,Call Drop,52,Yes,delhi
20280,496,2022-11-17,November,2022,No Signal,52,Yes,chennai
20281,277,2022-12-09,December,2022,No Signal,34,No,chennai
20282,47,2024-03-07,March,2024,Call Drop,59,Yes,hyderabad
20283,259,2024-03-19,March,2024,Call Drop,5,Yes,chennai
20284,414,2022-12-27,December,2022,Slow Internet,66,Yes,delhi
20285,216,2024-04-10,April,2024,Call Drop,41,Yes,chennai
20286,230,2022-03-07,March,2022,Slow Internet,34,Yes,chennai
20287,127,2023-09-16,September,2023,Slow Internet,54,Yes,delhi
20288,323,2024-05-17,May,2024,No Signal,20,Yes,mumbai
20289,318,2023-03-05,March,2023,No Signal,54,No,delhi
20290,421,2023-02-05,February,2023,Call Drop,66,Yes,chennai
20291,225,2022-06-20,June,2022,Call Drop,18,Yes,hyderabad
20292,150,2024-01-29,January,2024,Slow Internet,44,Yes,bangalore
20293,287,2023-08-01,August,2023,Slow Internet,48,Yes,bangalore
20294,46,2022-03-09,March,2022,No Signal,35,No,delhi
20295,460,2023-05-07,May,2023,Call Drop,39,Yes,hyderabad
20296,301,2022-02-03,February,2022,Call Drop,3,Yes,delhi
20297,14,2022-01-01,January,2022,Call Drop,19,Yes,mumbai
20298,121,2022-05-31,May,2022,Call Drop,18,Yes,chennai
20299,396,2024-02-23,February,2024,No Signal,5,Yes,kolkata
20300,375,2022-09-15,September,2022,No Signal,55,Yes,mumbai
20301,191,2024-01-20,January,2024,Slow Internet,13,Yes,hyderabad
20302,475,2023-09-20,September,2023,No Signal,34,Yes,delhi
20303,333,2023-08-11,August,2023,Slow Internet,18,Yes,bangalore
20304,344,2024-03-05,March,2024,No Signal,68,Yes,kolkata
20305,166,2022-01-19,January,2022,No Signal,43,Yes,delhi
20306,117,2024-03-06,March,2024,Call Drop,65,Yes,kolkata
20307,431,2022-02-04,February,2022,Slow Internet,41,Yes,chennai
20308,124,2023-01-06,January,2023,Slow Internet,38,Yes,kolkata
20309,54,2023-05-06,May,2023,Slow Internet,38,Yes,bangalore
20310,439,2024-04-15,April,2024,No Signal,13,Yes,chennai
20311,304,2024-03-27,March,2024,Call Drop,22,Yes,delhi
20312,457,2022-08-29,August,2022,No Signal,29,Yes,delhi
20313,456,2022-01-07,January,2022,Call Drop,9,Yes,kolkata
20314,357,2023-07-03,July,2023,No Signal,68,Yes,bangalore
20315,271,2023-01-06,January,2023,Slow Internet,17,Yes,kolkata
20316,199,2023-10-27,October,2023,No Signal,37,Yes,kolkata
20317,216,2024-01-27,January,2024,Slow Internet,64,Yes,chennai
20318,113,2022-09-07,September,2022,Call Drop,67,Yes,kolkata
20319,16,2022-04-25,April,2022,Slow Internet,4,No,bangalore
20320,216,2023-07-07,July,2023,Slow Internet,40,No,chennai
20321,427,2022-12-03,December,2022,Slow Internet,16,Yes,delhi
20322,135,2023-07-28,July,2023,Slow Internet,11,Yes,chennai
20323,43,2023-11-12,November,2023,Call Drop,26,Yes,hyderabad
20324,252,2022-05-22,May,2022,No Signal,65,Yes,hyderabad
20325,284,2023-04-30,April,2023,No Signal,2,Yes,chennai
20326,322,2023-03-14,March,2023,No Signal,45,Yes,kolkata
20327,98,2024-02-09,February,2024,No Signal,43,Yes,chennai
20328,60,2022-03-29,March,2022,Slow Internet,3,Yes,hyderabad
20329,230,2023-04-08,April,2023,Call Drop,34,Yes,chennai
20330,384,2022-02-17,February,2022,Call Drop,65,Yes,chennai
20331,131,2023-04-26,April,2023,No Signal,64,Yes,kolkata
20332,385,2024-04-02,April,2024,No Signal,7,Yes,hyderabad
20333,159,2023-06-08,June,2023,Call Drop,35,Yes,delhi
20334,312,2022-07-30,July,2022,Call Drop,22,Yes,hyderabad
20335,471,2022-09-01,September,2022,Slow Internet,48,Yes,hyderabad
20336,84,2022-08-27,August,2022,Call Drop,32,Yes,delhi
20337,208,2022-07-16,July,2022,Call Drop,26,Yes,hyderabad
20338,174,2024-02-08,February,2024,Slow Internet,6,Yes,mumbai
20339,288,2022-08-23,August,2022,Slow Internet,46,Yes,kolkata
20340,81,2022-07-06,July,2022,Slow Internet,55,Yes,chennai
20341,18,2023-12-14,December,2023,Call Drop,55,Yes,delhi
20342,196,2023-09-07,September,2023,Call Drop,57,No,kolkata
20343,291,2022-10-17,October,2022,Call Drop,63,Yes,mumbai
20344,360,2022-08-09,August,2022,Slow Internet,1,Yes,hyderabad
20345,356,2023-05-12,May,2023,Call Drop,21,Yes,bangalore
20346,279,2023-05-11,May,2023,Call Drop,20,Yes,delhi
20347,463,2024-05-29,May,2024,Slow Internet,29,Yes,delhi
20348,397,2022-10-29,October,2022,No Signal,43,Yes,bangalore
20349,462,2022-07-06,July,2022,No Signal,45,Yes,hyderabad
20350,254,2023-03-26,March,2023,Call Drop,65,No,bangalore
20351,142,2023-02-16,February,2023,Slow Internet,3,Yes,kolkata
20352,165,2023-09-03,September,2023,Slow Internet,20,Yes,mumbai
20353,5,2022-09-02,September,2022,Call Drop,37,Yes,delhi
20354,251,2022-11-09,November,2022,Call Drop,38,No,kolkata
20355,150,2024-03-29,March,2024,No Signal,45,Yes,bangalore
20356,28,2023-05-11,May,2023,Slow Internet,42,Yes,delhi
20357,237,2022-01-22,January,2022,Call Drop,46,No,chennai
20358,132,2022-03-09,March,2022,Slow Internet,60,Yes,hyderabad
20359,306,2023-01-27,January,2023,Call Drop,13,Yes,bangalore
20360,358,2022-11-12,November,2022,No Signal,31,Yes,mumbai
20361,285,2022-03-06,March,2022,Call Drop,68,Yes,hyderabad
20362,293,2024-03-14,March,2024,No Signal,62,Yes,chennai
20363,163,2023-12-30,December,2023,No Signal,49,Yes,hyderabad
20364,404,2023-06-25,June,2023,Call Drop,18,Yes,hyderabad
20365,419,2023-12-06,December,2023,Call Drop,53,No,kolkata
20366,227,2023-07-22,July,2023,No Signal,18,Yes,bangalore
20367,468,2024-04-29,April,2024,Slow Internet,51,Yes,mumbai
20368,130,2024-06-18,June,2024,Slow Internet,41,Yes,kolkata
20369,372,2022-07-31,July,2022,No Signal,67,Yes,chennai
20370,58,2024-01-20,January,2024,No Signal,65,Yes,bangalore
20371,146,2022-07-19,July,2022,Call Drop,6,No,mumbai
20372,478,2022-06-27,June,2022,Call Drop,37,Yes,chennai
20373,362,2023-02-27,February,2023,No Signal,12,Yes,delhi
20374,312,2023-10-27,October,2023,No Signal,2,No,hyderabad
20375,122,2023-04-07,April,2023,Slow Internet,53,Yes,hyderabad
20376,192,2022-02-13,February,2022,Slow Internet,25,Yes,mumbai
20377,245,2023-03-07,March,2023,Slow Internet,28,No,delhi
20378,477,2022-06-17,June,2022,No Signal,45,Yes,delhi
20379,103,2022-10-14,October,2022,No Signal,37,Yes,delhi
20380,379,2023-12-10,December,2023,Slow Internet,17,Yes,kolkata
20381,436,2022-12-03,December,2022,Slow Internet,69,Yes,delhi
20382,250,2023-08-09,August,2023,Call Drop,56,Yes,mumbai
20383,22,2022-06-20,June,2022,Call Drop,58,Yes,hyderabad
20384,477,2024-06-10,June,2024,No Signal,4,Yes,delhi
20385,60,2022-07-02,July,2022,Call Drop,55,Yes,hyderabad
20386,238,2022-01-16,January,2022,No Signal,49,No,mumbai
20387,394,2023-05-11,May,2023,No Signal,38,Yes,delhi
20388,340,2023-08-03,August,2023,No Signal,45,Yes,kolkata
20389,384,2024-06-05,June,2024,Slow Internet,30,Yes,chennai
20390,336,2024-04-16,April,2024,Call Drop,37,Yes,bangalore
20391,134,2023-07-08,July,2023,Call Drop,56,Yes,mumbai
20392,337,2022-04-20,April,2022,Call Drop,27,Yes,mumbai
20393,262,2023-07-07,July,2023,Call Drop,32,Yes,hyderabad
20394,342,2022-11-02,November,2022,Slow Internet,11,Yes,hyderabad
20395,338,2022-01-06,January,2022,Call Drop,58,Yes,delhi
20396,480,2024-04-22,April,2024,Call Drop,35,Yes,hyderabad
20397,412,2023-11-24,November,2023,Slow Internet,17,Yes,hyderabad
20398,42,2022-09-30,September,2022,Call Drop,30,Yes,kolkata
20399,74,2022-12-27,December,2022,Call Drop,18,Yes,hyderabad
20400,297,2022-07-04,July,2022,Slow Internet,30,Yes,chennai
20401,319,2024-04-14,April,2024,Slow Internet,16,Yes,chennai
20402,22,2023-10-18,October,2023,Slow Internet,54,Yes,hyderabad
20403,220,2022-04-10,April,2022,Slow Internet,4,Yes,bangalore
20404,79,2022-03-31,March,2022,No Signal,15,Yes,delhi
20405,235,2022-09-03,September,2022,Slow Internet,27,Yes,kolkata
20406,157,2022-08-27,August,2022,Call Drop,4,Yes,chennai
20407,327,2023-12-25,December,2023,Call Drop,35,Yes,delhi
20408,114,2022-03-22,March,2022,Call Drop,63,Yes,mumbai
20409,290,2022-04-25,April,2022,Call Drop,66,Yes,mumbai
20410,96,2022-10-03,October,2022,No Signal,39,Yes,hyderabad
20411,130,2022-03-21,March,2022,No Signal,28,Yes,kolkata
20412,410,2023-07-22,July,2023,No Signal,34,Yes,bangalore
20413,109,2022-06-28,June,2022,Call Drop,33,Yes,mumbai
20414,75,2022-11-05,November,2022,Call Drop,50,Yes,mumbai
