usage_id,customer_id,usage_date,usage_month,usage_year,data_used_gb,call_minutes,network_type,usage_category,heavy_usage_flag
10116,475,2022-05-05,May,2022,2.54,144,4G,Normal Usage,Normal User
10117,249,2022-03-23,March,2022,0.85,145,5G,Normal Usage,Normal User
10118,457,2022-10-10,October,2022,0.67,80,5G,Normal Usage,Normal User
10119,449,2023-11-14,November,2023,3.28,42,5G,Normal Usage,Normal User
10120,331,2022-02-28,February,2022,0.1,292,4G,Normal Usage,Normal User
10121,323,2023-06-28,June,2023,0.25,175,5G,Normal Usage,Normal User
10122,180,2022-06-10,June,2022,0.02,68,4G,Normal Usage,Normal User
10123,190,2022-10-11,October,2022,0.41,55,4G,Normal Usage,Normal User
10124,407,2022-04-16,April,2022,0.18,118,4G,Normal Usage,Normal User
10125,154,2022-04-15,April,2022,13.68,203,5G,High Usage,Heavy User
10126,196,2023-03-15,March,2023,0.85,54,4G,Normal Usage,Normal User
10127,466,2022-08-16,August,2022,0.4,37,4G,Normal Usage,Normal User
10128,311,2023-12-01,December,2023,0.69,242,4G,Normal Usage,Normal User
10129,262,2023-08-05,August,2023,6.88,200,4G,High Usage,Heavy User
10130,419,2022-11-14,November,2022,1.84,235,4G,Normal Usage,Normal User
10131,406,2023-04-09,April,2023,1.13,14,5G,Normal Usage,Normal User
10132,427,2024-03-12,March,2024,5.17,143,4G,Normal Usage,Normal User
10133,143,2023-08-22,August,2023,1.26,76,5G,Normal Usage,Normal User
10134,342,2024-05-31,May,2024,1.02,262,4G,Normal Usage,Normal User
10135,316,2024-05-23,May,2024,0.58,184,5G,Normal Usage,Normal User
10136,101,2023-04-17,April,2023,1.19,54,4G,Normal Usage,Normal User
10137,244,2022-02-25,February,2022,0.95,3,4G,Normal Usage,Normal User
10138,490,2023-09-17,September,2023,2.83,298,4G,Normal Usage,Normal User
10139,12,2022-01-13,January,2022,0.85,39,4G,Normal Usage,Normal User
10140,239,2023-03-16,March,2023,2.15,229,5G,Normal Usage,Normal User
10141,49,2022-01-18,January,2022,0.17,285,4G,Normal Usage,Normal User
10142,42,2023-11-25,November,2023,0.53,137,5G,Normal Usage,Normal User
10143,166,2022-04-23,April,2022,1.31,102,5G,Normal Usage,Normal User
10144,82,2022-08-17,August,2022,6.91,6,4G,High Usage,Heavy User
10145,429,2022-06-20,June,2022,1.18,163,4G,Normal Usage,Normal User
10146,291,2022-10-22,October,2022,2.73,275,4G,Normal Usage,Normal User
10147,158,2022-07-08,July,2022,0.74,48,4G,Normal Usage,Normal User
10148,216,2023-03-02,March,2023,0.34,95,4G,Normal Usage,Normal User
10149,490,2022-03-20,March,2022,0.15,58,5G,Normal Usage,Normal User
10150,158,2023-10-20,October,2023,0.91,230,4G,Normal Usage,Normal User
10151,462,2022-07-01,July,2022,0.43,176,4G,Normal Usage,Normal User
10152,134,2023-05-14,May,2023,0.48,89,4G,Normal Usage,Normal User
10153,67,2024-03-08,March,2024,3.58,281,4G,Normal Usage,Normal User
10154,336,2024-02-01,February,2024,0.04,35,5G,Normal Usage,Normal User
10155,7,2024-05-15,May,2024,2.04,170,5G,Normal Usage,Normal User
10156,436,2024-04-05,April,2024,1.19,125,5G,Normal Usage,Normal User
10157,14,2023-12-09,December,2023,1.77,298,5G,Normal Usage,Normal User
10158,73,2024-04-14,April,2024,2.07,203,4G,Normal Usage,Normal User
10159,399,2022-03-12,March,2022,0.94,288,4G,Normal Usage,Normal User
10160,405,2022-09-05,September,2022,0.87,96,4G,Normal Usage,Normal User
10161,163,2022-05-26,May,2022,3.31,237,5G,Normal Usage,Normal User
10162,66,2023-09-10,September,2023,5.13,172,5G,Normal Usage,Normal User
10163,347,2024-02-14,February,2024,0.53,87,4G,Normal Usage,Normal User
10164,130,2022-10-23,October,2022,0.26,16,4G,Normal Usage,Normal User
10165,419,2023-08-05,August,2023,5.7,139,4G,Normal Usage,Normal User
10166,466,2023-04-15,April,2023,1.08,253,5G,Normal Usage,Normal User
10167,206,2023-05-21,May,2023,2.0,277,4G,Normal Usage,Normal User
10168,276,2022-07-12,July,2022,1.11,150,5G,Normal Usage,Normal User
10169,466,2022-03-09,March,2022,0.34,139,4G,Normal Usage,Normal User
10170,256,2023-05-09,May,2023,2.22,113,4G,Normal Usage,Normal User
10171,266,2024-03-27,March,2024,1.86,67,5G,Normal Usage,Normal User
10172,25,2022-02-21,February,2022,0.57,178,4G,Normal Usage,Normal User
10173,450,2024-05-31,May,2024,1.5,124,5G,Normal Usage,Normal User
10174,281,2022-12-29,December,2022,3.99,232,5G,Normal Usage,Normal User
10175,253,2024-03-07,March,2024,2.23,146,4G,Normal Usage,Normal User
10176,310,2023-04-19,April,2023,0.25,110,5G,Normal Usage,Normal User
10177,289,2024-04-25,April,2024,1.99,237,4G,Normal Usage,Normal User
10178,164,2023-06-05,June,2023,3.03,2,4G,Normal Usage,Normal User
10179,95,2024-02-02,February,2024,3.93,210,5G,Normal Usage,Normal User
10180,270,2023-03-07,March,2023,2.48,24,4G,Normal Usage,Normal User
10181,321,2024-04-23,April,2024,0.41,183,4G,Normal Usage,Normal User
10182,110,2022-10-25,October,2022,3.1,60,5G,Normal Usage,Normal User
10183,336,2023-03-11,March,2023,2.83,122,4G,Normal Usage,Normal User
10184,310,2023-11-27,November,2023,0.06,54,5G,Normal Usage,Normal User
10185,238,2023-11-22,November,2023,1.33,162,5G,Normal Usage,Normal User
10186,381,2022-07-17,July,2022,1.01,186,4G,Normal Usage,Normal User
10187,436,2022-05-08,May,2022,2.77,38,4G,Normal Usage,Normal User
10188,387,2023-06-16,June,2023,0.61,184,4G,Normal Usage,Normal User
10189,483,2023-02-15,February,2023,2.23,82,4G,Normal Usage,Normal User
10190,425,2024-04-19,April,2024,6.11,194,5G,High Usage,Heavy User
10191,390,2022-03-06,March,2022,4.0,33,5G,Normal Usage,Normal User
10192,25,2023-11-25,November,2023,6.36,112,4G,High Usage,Heavy User
10193,141,2022-08-29,August,2022,9.6,229,4G,High Usage,Heavy User
10194,117,2023-01-04,January,2023,0.03,282,5G,Normal Usage,Normal User
10195,482,2023-06-20,June,2023,2.44,286,4G,Normal Usage,Normal User
10196,392,2023-01-19,January,2023,1.33,154,5G,Normal Usage,Normal User
10197,405,2023-03-07,March,2023,4.91,164,5G,Normal Usage,Normal User
10198,482,2022-03-24,March,2022,0.73,181,4G,Normal Usage,Normal User
10199,452,2024-04-10,April,2024,9.91,238,4G,High Usage,Heavy User
10200,25,2023-11-28,November,2023,2.38,136,5G,Normal Usage,Normal User
10201,79,2024-04-07,April,2024,3.94,265,4G,Normal Usage,Normal User
10202,68,2023-09-03,September,2023,0.22,186,4G,Normal Usage,Normal User
10203,173,2023-07-28,July,2023,0.51,39,5G,Normal Usage,Normal User
10204,444,2022-10-13,October,2022,3.55,166,5G,Normal Usage,Normal User
10205,12,2023-06-18,June,2023,0.06,259,4G,Normal Usage,Normal User
10206,288,2023-04-04,April,2023,4.24,142,4G,Normal Usage,Normal User
10207,128,2022-07-31,July,2022,0.04,203,4G,Normal Usage,Normal User
10208,96,2022-05-06,May,2022,2.68,175,4G,Normal Usage,Normal User
10209,92,2023-02-17,February,2023,1.14,261,4G,Normal Usage,Normal User
10210,141,2023-05-14,May,2023,2.36,251,4G,Normal Usage,Normal User
10211,31,2023-03-01,March,2023,2.98,199,4G,Normal Usage,Normal User
10212,334,2023-07-08,July,2023,1.05,198,4G,Normal Usage,Normal User
10213,20,2023-09-02,September,2023,0.29,195,4G,Normal Usage,Normal User
10214,146,2023-06-27,June,2023,0.18,76,4G,Normal Usage,Normal User
10215,477,2022-06-07,June,2022,2.22,18,4G,Normal Usage,Normal User
10216,316,2022-04-22,April,2022,1.84,61,4G,Normal Usage,Normal User
10217,447,2023-02-06,February,2023,3.39,280,5G,Normal Usage,Normal User
10218,390,2024-01-29,January,2024,1.78,249,4G,Normal Usage,Normal User
10219,160,2022-05-02,May,2022,1.37,226,4G,Normal Usage,Normal User
10220,349,2022-09-30,September,2022,1.27,126,5G,Normal Usage,Normal User
10221,43,2022-10-21,October,2022,0.07,57,4G,Normal Usage,Normal User
10222,254,2023-02-02,February,2023,1.02,203,5G,Normal Usage,Normal User
10223,130,2023-04-16,April,2023,9.33,242,4G,High Usage,Heavy User
10224,60,2022-07-26,July,2022,5.17,251,4G,Normal Usage,Normal User
10225,151,2022-04-20,April,2022,1.0,198,4G,Normal Usage,Normal User
10226,467,2023-03-16,March,2023,2.22,239,4G,Normal Usage,Normal User
10227,287,2022-10-05,October,2022,4.7,138,4G,Normal Usage,Normal User
10228,499,2023-07-22,July,2023,1.46,121,4G,Normal Usage,Normal User
10229,5,2024-06-05,June,2024,0.05,48,4G,Normal Usage,Normal User
10230,467,2023-07-23,July,2023,0.19,114,5G,Normal Usage,Normal User
10231,418,2023-04-27,April,2023,1.79,250,4G,Normal Usage,Normal User
10232,266,2024-03-13,March,2024,8.72,6,4G,High Usage,Heavy User
10233,345,2022-04-24,April,2022,2.95,218,4G,Normal Usage,Normal User
10234,130,2024-06-11,June,2024,0.18,76,4G,Normal Usage,Normal User
10235,382,2024-06-15,June,2024,0.52,178,5G,Normal Usage,Normal User
10236,267,2024-03-30,March,2024,3.69,144,4G,Normal Usage,Normal User
10237,178,2024-05-02,May,2024,4.6,153,4G,Normal Usage,Normal User
10238,253,2023-04-22,April,2023,2.4,120,5G,Normal Usage,Normal User
10239,415,2023-12-11,December,2023,2.59,123,5G,Normal Usage,Normal User
10240,56,2022-11-17,November,2022,0.07,149,4G,Normal Usage,Normal User
10241,463,2022-06-28,June,2022,4.41,267,4G,Normal Usage,Normal User
10242,457,2024-06-15,June,2024,3.88,0,4G,Normal Usage,Normal User
10243,471,2022-08-07,August,2022,0.75,160,4G,Normal Usage,Normal User
10244,83,2024-02-28,February,2024,3.08,243,4G,Normal Usage,Normal User
10245,393,2023-06-12,June,2023,0.6,250,4G,Normal Usage,Normal User
10246,99,2023-05-07,May,2023,0.1,63,5G,Normal Usage,Normal User
10247,149,2024-06-09,June,2024,0.56,298,4G,Normal Usage,Normal User
10248,329,2022-03-02,March,2022,0.49,247,4G,Normal Usage,Normal User
10249,156,2022-02-23,February,2022,1.03,296,4G,Normal Usage,Normal User
10250,190,2023-11-11,November,2023,1.36,114,4G,Normal Usage,Normal User
10251,494,2023-06-22,June,2023,1.78,294,4G,Normal Usage,Normal User
10252,371,2024-04-27,April,2024,1.62,0,4G,Normal Usage,Normal User
10253,263,2022-03-06,March,2022,0.79,40,4G,Normal Usage,Normal User
10254,80,2023-09-04,September,2023,0.07,172,4G,Normal Usage,Normal User
10255,400,2023-08-09,August,2023,2.32,87,4G,Normal Usage,Normal User
10256,252,2023-12-05,December,2023,1.26,97,4G,Normal Usage,Normal User
10257,97,2022-06-20,June,2022,0.89,87,4G,Normal Usage,Normal User
10258,260,2022-09-30,September,2022,5.04,250,4G,Normal Usage,Normal User
10259,260,2024-06-07,June,2024,3.43,140,4G,Normal Usage,Normal User
10260,103,2023-11-30,November,2023,4.88,70,4G,Normal Usage,Normal User
10261,40,2023-06-19,June,2023,1.71,136,5G,Normal Usage,Normal User
10262,273,2023-01-26,January,2023,0.35,98,5G,Normal Usage,Normal User
10263,101,2023-11-24,November,2023,2.98,150,4G,Normal Usage,Normal User
10264,359,2022-11-23,November,2022,0.58,174,5G,Normal Usage,Normal User
10265,380,2022-04-18,April,2022,1.46,166,4G,Normal Usage,Normal User
10266,308,2024-04-26,April,2024,0.17,256,5G,Normal Usage,Normal User
10267,221,2022-06-11,June,2022,4.36,223,4G,Normal Usage,Normal User
10268,308,2024-03-24,March,2024,0.34,64,4G,Normal Usage,Normal User
10269,420,2023-03-28,March,2023,5.84,68,4G,Normal Usage,Normal User
10270,124,2022-07-25,July,2022,4.99,66,4G,Normal Usage,Normal User
10271,422,2023-08-13,August,2023,1.56,49,5G,Normal Usage,Normal User
10272,231,2022-01-16,January,2022,3.41,90,4G,Normal Usage,Normal User
10273,178,2022-11-23,November,2022,2.42,114,4G,Normal Usage,Normal User
10274,63,2023-08-31,August,2023,4.06,56,4G,Normal Usage,Normal User
10275,485,2023-10-21,October,2023,1.41,17,4G,Normal Usage,Normal User
10276,116,2022-01-02,January,2022,3.85,271,4G,Normal Usage,Normal User
10277,191,2022-01-10,January,2022,1.55,129,4G,Normal Usage,Normal User
10278,62,2023-03-10,March,2023,7.07,268,4G,High Usage,Heavy User
10279,256,2022-05-05,May,2022,1.67,79,5G,Normal Usage,Normal User
10280,483,2022-03-22,March,2022,1.55,298,4G,Normal Usage,Normal User
10281,7,2023-04-30,April,2023,3.84,201,4G,Normal Usage,Normal User
10282,155,2023-10-14,October,2023,4.31,224,4G,Normal Usage,Normal User
10283,92,2024-04-17,April,2024,2.02,158,5G,Normal Usage,Normal User
10284,470,2022-05-30,May,2022,0.5,203,4G,Normal Usage,Normal User
10285,14,2024-03-10,March,2024,1.58,136,4G,Normal Usage,Normal User
10286,455,2024-05-22,May,2024,8.61,72,5G,High Usage,Heavy User
10287,229,2022-12-06,December,2022,3.5,47,4G,Normal Usage,Normal User
10288,86,2022-05-09,May,2022,4.17,17,4G,Normal Usage,Normal User
10289,133,2023-03-14,March,2023,0.08,266,4G,Normal Usage,Normal User
10290,183,2024-01-21,January,2024,1.58,18,5G,Normal Usage,Normal User
10291,386,2023-05-16,May,2023,2.6,99,5G,Normal Usage,Normal User
10292,62,2022-02-27,February,2022,4.43,115,5G,Normal Usage,Normal User
10293,219,2022-07-17,July,2022,0.13,73,4G,Normal Usage,Normal User
10294,405,2022-07-30,July,2022,4.78,279,4G,Normal Usage,Normal User
10295,246,2022-02-14,February,2022,1.99,268,4G,Normal Usage,Normal User
10296,230,2022-04-07,April,2022,0.55,124,5G,Normal Usage,Normal User
10297,79,2022-10-06,October,2022,0.95,115,5G,Normal Usage,Normal User
10298,149,2023-06-19,June,2023,0.83,173,4G,Normal Usage,Normal User
10299,138,2023-02-14,February,2023,1.89,180,4G,Normal Usage,Normal User
10300,471,2023-04-06,April,2023,0.13,225,4G,Normal Usage,Normal User
10301,314,2023-01-26,January,2023,0.43,156,4G,Normal Usage,Normal User
10302,376,2024-04-26,April,2024,4.19,163,4G,Normal Usage,Normal User
10303,423,2022-02-13,February,2022,0.36,70,4G,Normal Usage,Normal User
10304,389,2022-01-27,January,2022,0.66,221,4G,Normal Usage,Normal User
10305,65,2024-03-04,March,2024,1.51,125,4G,Normal Usage,Normal User
10306,13,2022-04-07,April,2022,1.82,144,5G,Normal Usage,Normal User
10307,213,2023-07-02,July,2023,3.61,175,5G,Normal Usage,Normal User
10308,474,2023-09-13,September,2023,1.48,151,5G,Normal Usage,Normal User
10309,242,2023-07-21,July,2023,3.9,181,5G,Normal Usage,Normal User
10310,493,2023-12-05,December,2023,2.41,84,4G,Normal Usage,Normal User
10311,213,2022-08-07,August,2022,0.3,120,4G,Normal Usage,Normal User
10312,181,2022-07-04,July,2022,0.42,128,5G,Normal Usage,Normal User
10313,338,2022-03-10,March,2022,1.44,5,4G,Normal Usage,Normal User
10314,485,2024-04-08,April,2024,1.26,182,4G,Normal Usage,Normal User
10315,173,2022-05-10,May,2022,3.4,37,4G,Normal Usage,Normal User
10316,160,2023-07-21,July,2023,2.17,115,5G,Normal Usage,Normal User
10317,164,2024-06-08,June,2024,1.23,101,4G,Normal Usage,Normal User
10318,465,2023-09-01,September,2023,0.47,7,4G,Normal Usage,Normal User
10319,483,2024-04-27,April,2024,0.64,217,4G,Normal Usage,Normal User
10320,497,2023-08-22,August,2023,2.14,206,5G,Normal Usage,Normal User
10321,188,2024-03-16,March,2024,1.38,77,4G,Normal Usage,Normal User
10322,395,2023-09-23,September,2023,1.81,54,4G,Normal Usage,Normal User
10323,191,2023-12-21,December,2023,0.47,227,4G,Normal Usage,Normal User
10324,405,2022-11-30,November,2022,2.72,87,5G,Normal Usage,Normal User
10325,308,2022-06-03,June,2022,4.79,9,5G,Normal Usage,Normal User
10326,256,2023-07-01,July,2023,0.75,289,4G,Normal Usage,Normal User
10327,183,2022-03-20,March,2022,1.69,163,4G,Normal Usage,Normal User
10328,117,2023-08-02,August,2023,9.28,238,5G,High Usage,Heavy User
10329,282,2024-05-04,May,2024,1.01,143,4G,Normal Usage,Normal User
10330,196,2023-02-17,February,2023,2.26,17,5G,Normal Usage,Normal User
10331,34,2023-06-30,June,2023,0.24,70,4G,Normal Usage,Normal User
10332,52,2023-09-01,September,2023,2.33,174,4G,Normal Usage,Normal User
10333,112,2022-06-18,June,2022,0.23,287,5G,Normal Usage,Normal User
10334,252,2023-11-12,November,2023,8.0,298,4G,High Usage,Heavy User
10335,82,2023-10-25,October,2023,3.14,247,4G,Normal Usage,Normal User
10336,232,2023-08-06,August,2023,3.88,192,4G,Normal Usage,Normal User
10337,227,2023-05-30,May,2023,3.04,267,5G,Normal Usage,Normal User
10338,233,2022-11-10,November,2022,2.23,203,4G,Normal Usage,Normal User
10339,221,2022-02-01,February,2022,1.49,122,4G,Normal Usage,Normal User
10340,436,2022-10-14,October,2022,4.89,57,5G,Normal Usage,Normal User
10341,413,2023-08-17,August,2023,7.86,200,4G,High Usage,Heavy User
10342,422,2022-02-12,February,2022,1.73,111,4G,Normal Usage,Normal User
10343,42,2023-09-09,September,2023,6.7,127,4G,High Usage,Heavy User
10344,21,2022-01-01,January,2022,2.19,35,5G,Normal Usage,Normal User
10345,42,2023-07-27,July,2023,1.93,233,4G,Normal Usage,Normal User
10346,397,2022-09-27,September,2022,1.52,46,4G,Normal Usage,Normal User
10347,113,2022-06-29,June,2022,0.59,114,4G,Normal Usage,Normal User
10348,105,2024-01-06,January,2024,0.01,254,5G,Normal Usage,Normal User
10349,192,2023-06-02,June,2023,0.69,222,5G,Normal Usage,Normal User
10350,17,2022-04-13,April,2022,1.78,123,4G,Normal Usage,Normal User
10351,120,2022-01-10,January,2022,1.19,159,4G,Normal Usage,Normal User
10352,393,2023-08-06,August,2023,1.49,95,5G,Normal Usage,Normal User
10353,425,2022-03-31,March,2022,9.86,106,4G,High Usage,Heavy User
10354,129,2022-08-14,August,2022,1.08,119,5G,Normal Usage,Normal User
10355,130,2023-11-01,November,2023,1.5,100,4G,Normal Usage,Normal User
10356,60,2024-01-10,January,2024,0.36,102,4G,Normal Usage,Normal User
10357,48,2022-05-06,May,2022,0.12,165,4G,Normal Usage,Normal User
10358,29,2022-07-28,July,2022,3.73,185,5G,Normal Usage,Normal User
10359,97,2022-04-07,April,2022,2.11,31,4G,Normal Usage,Normal User
10360,10,2022-03-15,March,2022,3.58,65,4G,Normal Usage,Normal User
10361,242,2023-09-19,September,2023,0.41,178,4G,Normal Usage,Normal User
10362,314,2022-07-10,July,2022,2.12,266,4G,Normal Usage,Normal User
10363,444,2023-11-13,November,2023,0.73,36,4G,Normal Usage,Normal User
10364,232,2024-03-29,March,2024,0.65,200,4G,Normal Usage,Normal User
10365,277,2023-12-17,December,2023,0.03,48,5G,Normal Usage,Normal User
10366,284,2022-02-25,February,2022,0.35,274,4G,Normal Usage,Normal User
