usage_id,customer_id,usage_date,usage_month,usage_year,data_used_gb,call_minutes,network_type,usage_category
10041,215,2023-05-17,May,2023,2.20,267,4G,Normal Usage
10042,172,2023-04-22,April,2023,4.24,7,4G,Normal Usage
10043,258,2023-12-05,December,2023,11.11,264,4G,High Usage
10044,102,2024-02-04,February,2024,1.23,77,5G,Normal Usage
10045,209,2023-07-04,July,2023,0.12,239,5G,Normal Usage
10046,291,2022-01-14,January,2022,4.04,257,5G,Normal Usage
10047,354,2023-01-27,January,2023,2.32,195,4G,Normal Usage
10048,471,2022-12-13,December,2022,0.55,130,5G,Normal Usage
10049,286,2022-11-06,November,2022,1.71,260,4G,Normal Usage
10050,116,2023-01-21,January,2023,3.39,241,5G,Normal Usage
10051,264,2022-07-28,July,2022,3.68,170,4G,Normal Usage
10052,150,2022-12-23,December,2022,1.73,146,4G,Normal Usage
10053,300,2023-08-24,August,2023,0.91,269,4G,Normal Usage
10054,442,2023-07-22,July,2023,9.10,148,4G,High Usage
10055,36,2022-04-04,April,2022,2.72,298,4G,Normal Usage
10056,453,2022-04-03,April,2022,1.31,27,5G,Normal Usage
10057,333,2022-12-06,December,2022,0.82,148,4G,Normal Usage
10058,477,2023-08-20,August,2023,3.28,279,4G,Normal Usage
10059,287,2023-03-21,March,2023,0.69,181,4G,Normal Usage
10060,303,2024-01-27,January,2024,0.47,165,4G,Normal Usage
10061,311,2022-01-22,January,2022,1.89,16,5G,Normal Usage
10062,208,2022-10-18,October,2022,0.86,149,4G,Normal Usage
10063,106,2023-04-30,April,2023,2.48,44,4G,Normal Usage
10064,446,2024-02-23,February,2024,0.31,188,5G,Normal Usage
10065,158,2022-11-02,November,2022,2.66,138,5G,Normal Usage
10066,121,2023-09-26,September,2023,0.83,60,4G,Normal Usage
10067,55,2022-05-08,May,2022,0.00,293,5G,Normal Usage
10068,400,2023-09-17,September,2023,0.34,32,4G,Normal Usage
10069,12,2022-09-30,September,2022,6.78,298,5G,High Usage
10070,145,2024-04-27,April,2024,5.05,111,4G,Normal Usage
10071,400,2023-03-18,March,2023,0.67,290,5G,Normal Usage
10072,396,2023-05-18,May,2023,3.77,36,4G,Normal Usage
10073,136,2022-05-10,May,2022,2.34,99,4G,Normal Usage
10074,468,2022-05-12,May,2022,8.84,22,4G,High Usage
10075,3,2023-08-20,August,2023,1.17,217,4G,Normal Usage
10076,144,2023-04-27,April,2023,2.86,88,5G,Normal Usage
10077,30,2024-05-11,May,2024,0.16,208,4G,Normal Usage
10078,237,2023-01-25,January,2023,1.26,270,4G,Normal Usage
10079,279,2023-08-16,August,2023,8.30,236,4G,High Usage
10080,348,2022-11-21,November,2022,1.94,208,4G,Normal Usage
10081,115,2022-03-10,March,2022,0.85,277,5G,Normal Usage
10082,104,2023-10-22,October,2023,0.32,205,4G,Normal Usage
10083,118,2023-03-24,March,2023,3.04,77,4G,Normal Usage
10084,5,2023-06-12,June,2023,2.59,97,5G,Normal Usage
10085,468,2024-03-29,March,2024,1.17,93,5G,Normal Usage
10086,360,2023-09-09,September,2023,7.54,79,4G,High Usage
10087,248,2022-06-14,June,2022,0.06,37,4G,Normal Usage
10088,364,2023-05-03,May,2023,0.91,227,5G,Normal Usage
10089,321,2023-12-14,December,2023,6.35,133,5G,High Usage
10090,121,2023-12-10,December,2023,0.97,195,5G,Normal Usage
10091,286,2023-03-02,March,2023,0.73,281,5G,Normal Usage
10092,149,2023-11-28,November,2023,1.91,100,5G,Normal Usage
10093,84,2024-04-13,April,2024,4.34,74,5G,Normal Usage
10094,454,2022-09-22,September,2022,0.27,293,5G,Normal Usage
10095,406,2024-05-24,May,2024,7.16,207,4G,High Usage
10096,466,2023-09-04,September,2023,3.96,82,4G,Normal Usage
10097,456,2022-12-08,December,2022,0.50,142,4G,Normal Usage
10098,231,2024-04-11,April,2024,3.11,55,4G,Normal Usage
10099,288,2023-12-27,December,2023,1.22,286,5G,Normal Usage
10100,161,2022-10-05,October,2022,1.29,210,5G,Normal Usage
10101,272,2023-11-05,November,2023,3.82,178,5G,Normal Usage
10102,460,2023-03-15,March,2023,8.23,57,5G,High Usage
10103,38,2022-06-06,June,2022,0.34,72,4G,Normal Usage
10104,500,2023-02-26,February,2023,1.36,214,5G,Normal Usage
10105,226,2022-09-08,September,2022,1.64,265,4G,Normal Usage
10106,142,2024-05-27,May,2024,1.18,72,4G,Normal Usage
10107,292,2023-09-01,September,2023,1.13,270,4G,Normal Usage
10108,481,2023-06-14,June,2023,0.13,233,5G,Normal Usage
10109,151,2022-11-23,November,2022,2.89,18,4G,Normal Usage
10110,114,2024-06-13,June,2024,1.43,112,5G,Normal Usage
10111,237,2022-04-07,April,2022,0.54,62,4G,Normal Usage
10112,66,2023-05-28,May,2023,4.23,183,4G,Normal Usage
10113,361,2022-08-04,August,2022,4.06,276,4G,Normal Usage
10114,341,2022-05-12,May,2022,1.67,161,4G,Normal Usage
10115,258,2022-09-17,September,2022,0.89,242,5G,Normal Usage
10116,475,2022-05-05,May,2022,2.54,144,4G,Normal Usage
10117,249,2022-03-23,March,2022,0.85,145,5G,Normal Usage
10118,457,2022-10-10,October,2022,0.67,80,5G,Normal Usage
10119,449,2023-11-14,November,2023,3.28,42,5G,Normal Usage
10120,331,2022-02-28,February,2022,0.10,292,4G,Normal Usage
10121,323,2023-06-28,June,2023,0.25,175,5G,Normal Usage
10122,180,2022-06-10,June,2022,0.02,68,4G,Normal Usage
10123,190,2022-10-11,October,2022,0.41,55,4G,Normal Usage
10124,407,2022-04-16,April,2022,0.18,118,4G,Normal Usage
10125,154,2022-04-15,April,2022,13.68,203,5G,High Usage
10126,196,2023-03-15,March,2023,0.85,54,4G,Normal Usage
10127,466,2022-08-16,August,2022,0.40,37,4G,Normal Usage
10128,311,2023-12-01,December,2023,0.69,242,4G,Normal Usage
10129,262,2023-08-05,August,2023,6.88,200,4G,High Usage
10130,419,2022-11-14,November,2022,1.84,235,4G,Normal Usage
10131,406,2023-04-09,April,2023,1.13,14,5G,Normal Usage
10132,427,2024-03-12,March,2024,5.17,143,4G,Normal Usage
10133,143,2023-08-22,August,2023,1.26,76,5G,Normal Usage
10134,342,2024-05-31,May,2024,1.02,262,4G,Normal Usage
10135,316,2024-05-23,May,2024,0.58,184,5G,Normal Usage
10136,101,2023-04-17,April,2023,1.19,54,4G,Normal Usage
10137,244,2022-02-25,February,2022,0.95,3,4G,Normal Usage
10138,490,2023-09-17,September,2023,2.83,298,4G,Normal Usage
10139,12,2022-01-13,January,2022,0.85,39,4G,Normal Usage
10140,239,2023-03-16,March,2023,2.15,229,5G,Normal Usage
10141,49,2022-01-18,January,2022,0.17,285,4G,Normal Usage
10142,42,2023-11-25,November,2023,0.53,137,5G,Normal Usage
10143,166,2022-04-23,April,2022,1.31,102,5G,Normal Usage
10144,82,2022-08-17,August,2022,6.91,6,4G,High Usage
10145,429,2022-06-20,June,2022,1.18,163,4G,Normal Usage
10146,291,2022-10-22,October,2022,2.73,275,4G,Normal Usage
10147,158,2022-07-08,July,2022,0.74,48,4G,Normal Usage
10148,216,2023-03-02,March,2023,0.34,95,4G,Normal Usage
10149,490,2022-03-20,March,2022,0.15,58,5G,Normal Usage
10150,158,2023-10-20,October,2023,0.91,230,4G,Normal Usage
10151,462,2022-07-01,July,2022,0.43,176,4G,Normal Usage
10152,134,2023-05-14,May,2023,0.48,89,4G,Normal Usage
10153,67,2024-03-08,March,2024,3.58,281,4G,Normal Usage
10154,336,2024-02-01,February,2024,0.04,35,5G,Normal Usage
10155,7,2024-05-15,May,2024,2.04,170,5G,Normal Usage
10156,436,2024-04-05,April,2024,1.19,125,5G,Normal Usage
10157,14,2023-12-09,December,2023,1.77,298,5G,Normal Usage
10158,73,2024-04-14,April,2024,2.07,203,4G,Normal Usage
10159,399,2022-03-12,March,2022,0.94,288,4G,Normal Usage
10160,405,2022-09-05,September,2022,0.87,96,4G,Normal Usage
10161,163,2022-05-26,May,2022,3.31,237,5G,Normal Usage
10162,66,2023-09-10,September,2023,5.13,172,5G,Normal Usage
10163,347,2024-02-14,February,2024,0.53,87,4G,Normal Usage
10164,130,2022-10-23,October,2022,0.26,16,4G,Normal Usage
10165,419,2023-08-05,August,2023,5.70,139,4G,Normal Usage
10166,466,2023-04-15,April,2023,1.08,253,5G,Normal Usage
10167,206,2023-05-21,May,2023,2.00,277,4G,Normal Usage
10168,276,2022-07-12,July,2022,1.11,150,5G,Normal Usage
10169,466,2022-03-09,March,2022,0.34,139,4G,Normal Usage
10170,256,2023-05-09,May,2023,2.22,113,4G,Normal Usage
10171,266,2024-03-27,March,2024,1.86,67,5G,Normal Usage
10172,25,2022-02-21,February,2022,0.57,178,4G,Normal Usage
10173,450,2024-05-31,May,2024,1.50,124,5G,Normal Usage
10174,281,2022-12-29,December,2022,3.99,232,5G,Normal Usage
10175,253,2024-03-07,March,2024,2.23,146,4G,Normal Usage
10176,310,2023-04-19,April,2023,0.25,110,5G,Normal Usage
10177,289,2024-04-25,April,2024,1.99,237,4G,Normal Usage
10178,164,2023-06-05,June,2023,3.03,2,4G,Normal Usage
10179,95,2024-02-02,February,2024,3.93,210,5G,Normal Usage
10180,270,2023-03-07,March,2023,2.48,24,4G,Normal Usage
10181,321,2024-04-23,April,2024,0.41,183,4G,Normal Usage
10182,110,2022-10-25,October,2022,3.10,60,5G,Normal Usage
10183,336,2023-03-11,March,2023,2.83,122,4G,Normal Usage
10184,310,2023-11-27,November,2023,0.06,54,5G,Normal Usage
10185,238,2023-11-22,November,2023,1.33,162,5G,Normal Usage
10186,381,2022-07-17,July,2022,1.01,186,4G,Normal Usage
10187,436,2022-05-08,May,2022,2.77,38,4G,Normal Usage
10188,387,2023-06-16,June,2023,0.61,184,4G,Normal Usage
10189,483,2023-02-15,February,2023,2.23,82,4G,Normal Usage
10190,425,2024-04-19,April,2024,6.11,194,5G,High Usage
10191,390,2022-03-06,March,2022,4.00,33,5G,Normal Usage
10192,25,2023-11-25,November,2023,6.36,112,4G,High Usage
10193,141,2022-08-29,August,2022,9.60,229,4G,High Usage
10194,117,2023-01-04,January,2023,0.03,282,5G,Normal Usage
10195,482,2023-06-20,June,2023,2.44,286,4G,Normal Usage
10196,392,2023-01-19,January,2023,1.33,154,5G,Normal Usage
10197,405,2023-03-07,March,2023,4.91,164,5G,Normal Usage
10198,482,2022-03-24,March,2022,0.73,181,4G,Normal Usage
10199,452,2024-04-10,April,2024,9.91,238,4G,High Usage
10200,25,2023-11-28,November,2023,2.38,136,5G,Normal Usage
10201,79,2024-04-07,April,2024,3.94,265,4G,Normal Usage
10202,68,2023-09-03,September,2023,0.22,186,4G,Normal Usage
10203,173,2023-07-28,July,2023,0.51,39,5G,Normal Usage
10204,444,2022-10-13,October,2022,3.55,166,5G,Normal Usage
10205,12,2023-06-18,June,2023,0.06,259,4G,Normal Usage
10206,288,2023-04-04,April,2023,4.24,142,4G,Normal Usage
10207,128,2022-07-31,July,2022,0.04,203,4G,Normal Usage
10208,96,2022-05-06,May,2022,2.68,175,4G,Normal Usage
10209,92,2023-02-17,February,2023,1.14,261,4G,Normal Usage
10210,141,2023-05-14,May,2023,2.36,251,4G,Normal Usage
10211,31,2023-03-01,March,2023,2.98,199,4G,Normal Usage
10212,334,2023-07-08,July,2023,1.05,198,4G,Normal Usage
10213,20,2023-09-02,September,2023,0.29,195,4G,Normal Usage
10214,146,2023-06-27,June,2023,0.18,76,4G,Normal Usage
10215,477,2022-06-07,June,2022,2.22,18,4G,Normal Usage
10216,316,2022-04-22,April,2022,1.84,61,4G,Normal Usage
10217,447,2023-02-06,February,2023,3.39,280,5G,Normal Usage
10218,390,2024-01-29,January,2024,1.78,249,4G,Normal Usage
10219,160,2022-05-02,May,2022,1.37,226,4G,Normal Usage
10220,349,2022-09-30,September,2022,1.27,126,5G,Normal Usage
10221,43,2022-10-21,October,2022,0.07,57,4G,Normal Usage
10222,254,2023-02-02,February,2023,1.02,203,5G,Normal Usage
10223,130,2023-04-16,April,2023,9.33,242,4G,High Usage
10224,60,2022-07-26,July,2022,5.17,251,4G,Normal Usage
10225,151,2022-04-20,April,2022,1.00,198,4G,Normal Usage
10226,467,2023-03-16,March,2023,2.22,239,4G,Normal Usage
10227,287,2022-10-05,October,2022,4.70,138,4G,Normal Usage
10228,499,2023-07-22,July,2023,1.46,121,4G,Normal Usage
10229,5,2024-06-05,June,2024,0.05,48,4G,Normal Usage
10230,467,2023-07-23,July,2023,0.19,114,5G,Normal Usage
10231,418,2023-04-27,April,2023,1.79,250,4G,Normal Usage
10232,266,2024-03-13,March,2024,8.72,6,4G,High Usage
10233,345,2022-04-24,April,2022,2.95,218,4G,Normal Usage
10234,130,2024-06-11,June,2024,0.18,76,4G,Normal Usage
10235,382,2024-06-15,June,2024,0.52,178,5G,Normal Usage
10236,267,2024-03-30,March,2024,3.69,144,4G,Normal Usage
10237,178,2024-05-02,May,2024,4.60,153,4G,Normal Usage
10238,253,2023-04-22,April,2023,2.40,120,5G,Normal Usage
10239,415,2023-12-11,December,2023,2.59,123,5G,Normal Usage
10240,56,2022-11-17,November,2022,0.07,149,4G,Normal Usage
10241,463,2022-06-28,June,2022,4.41,267,4G,Normal Usage
10242,457,2024-06-15,June,2024,3.88,0,4G,Normal Usage
10243,471,2022-08-07,August,2022,0.75,160,4G,Normal Usage
10244,83,2024-02-28,February,2024,3.08,243,4G,Normal Usage
10245,393,2023-06-12,June,2023,0.60,250,4G,Normal Usage
10246,99,2023-05-07,May,2023,0.10,63,5G,Normal Usage
10247,149,2024-06-09,June,2024,0.56,298,4G,Normal Usage
10248,329,2022-03-02,March,2022,0.49,247,4G,Normal Usage
10249,156,2022-02-23,February,2022,1.03,296,4G,Normal Usage
10250,190,2023-11-11,November,2023,1.36,114,4G,Normal Usage
10251,494,2023-06-22,June,2023,1.78,294,4G,Normal Usage
10252,371,2024-04-27,April,2024,1.62,0,4G,Normal Usage
10253,263,2022-03-06,March,2022,0.79,40,4G,Normal Usage
10254,80,2023-09-04,September,2023,0.07,172,4G,Normal Usage
10255,400,2023-08-09,August,2023,2.32,87,4G,Normal Usage
10256,252,2023-12-05,December,2023,1.26,97,4G,Normal Usage
10257,97,2022-06-20,June,2022,0.89,87,4G,Normal Usage
10258,260,2022-09-30,September,2022,5.04,250,4G,Normal Usage
10259,260,2024-06-07,June,2024,3.43,140,4G,Normal Usage
10260,103,2023-11-30,November,2023,4.88,70,4G,Normal Usage
10261,40,2023-06-19,June,2023,1.71,136,5G,Normal Usage
10262,273,2023-01-26,January,2023,0.35,98,5G,Normal Usage
10263,101,2023-11-24,November,2023,2.98,150,4G,Normal Usage
10264,359,2022-11-23,November,2022,0.58,174,5G,Normal Usage
10265,380,2022-04-18,April,2022,1.46,166,4G,Normal Usage
10266,308,2024-04-26,April,2024,0.17,256,5G,Normal Usage
10267,221,2022-06-11,June,2022,4.36,223,4G,Normal Usage
10268,308,2024-03-24,March,2024,0.34,64,4G,Normal Usage
10269,420,2023-03-28,March,2023,5.84,68,4G,Normal Usage
10270,124,2022-07-25,July,2022,4.99,66,4G,Normal Usage
10271,422,2023-08-13,August,2023,1.56,49,5G,Normal Usage
10272,231,2022-01-16,January,2022,3.41,90,4G,Normal Usage
10273,178,2022-11-23,November,2022,2.42,114,4G,Normal Usage
10274,63,2023-08-31,August,2023,4.06,56,4G,Normal Usage
10275,485,2023-10-21,October,2023,1.41,17,4G,Normal Usage
10276,116,2022-01-02,January,2022,3.85,271,4G,Normal Usage
10277,191,2022-01-10,January,2022,1.55,129,4G,Normal Usage
10278,62,2023-03-10,March,2023,7.07,268,4G,High Usage
10279,256,2022-05-05,May,2022,1.67,79,5G,Normal Usage
10280,483,2022-03-22,March,2022,1.55,298,4G,Normal Usage
10281,7,2023-04-30,April,2023,3.84,201,4G,Normal Usage
10282,155,2023-10-14,October,2023,4.31,224,4G,Normal Usage
10283,92,2024-04-17,April,2024,2.02,158,5G,Normal Usage
10284,470,2022-05-30,May,2022,0.50,203,4G,Normal Usage
10285,14,2024-03-10,March,2024,1.58,136,4G,Normal Usage
10286,455,2024-05-22,May,2024,8.61,72,5G,High Usage
10287,229,2022-12-06,December,2022,3.50,47,4G,Normal Usage
10288,86,2022-05-09,May,2022,4.17,17,4G,Normal Usage
10289,133,2023-03-14,March,2023,0.08,266,4G,Normal Usage
10290,183,2024-01-21,January,2024,1.58,18,5G,Normal Usage
10291,386,2023-05-16,May,2023,2.60,99,5G,Normal Usage
10292,62,2022-02-27,February,2022,4.43,115,5G,Normal Usage
10293,219,2022-07-17,July,2022,0.13,73,4G,Normal Usage
10294,405,2022-07-30,July,2022,4.78,279,4G,Normal Usage
10295,246,2022-02-14,February,2022,1.99,268,4G,Normal Usage
10296,230,2022-04-07,April,2022,0.55,124,5G,Normal Usage
10297,79,2022-10-06,October,2022,0.95,115,5G,Normal Usage
10298,149,2023-06-19,June,2023,0.83,173,4G,Normal Usage
10299,138,2023-02-14,February,2023,1.89,180,4G,Normal Usage
10300,471,2023-04-06,April,2023,0.13,225,4G,Normal Usage
10301,314,2023-01-26,January,2023,0.43,156,4G,Normal Usage
10302,376,2024-04-26,April,2024,4.19,163,4G,Normal Usage
10303,423,2022-02-13,February,2022,0.36,70,4G,Normal Usage
10304,389,2022-01-27,January,2022,0.66,221,4G,Normal Usage
10305,65,2024-03-04,March,2024,1.51,125,4G,Normal Usage
10306,13,2022-04-07,April,2022,1.82,144,5G,Normal Usage
10307,213,2023-07-02,July,2023,3.61,175,5G,Normal Usage
10308,474,2023-09-13,September,2023,1.48,151,5G,Normal Usage
10309,242,2023-07-21,July,2023,3.90,181,5G,Normal Usage
10310,493,2023-12-05,December,2023,2.41,84,4G,Normal Usage
10311,213,2022-08-07,August,2022,0.30,120,4G,Normal Usage
10312,181,2022-07-04,July,2022,0.42,128,5G,Normal Usage
10313,338,2022-03-10,March,2022,1.44,5,4G,Normal Usage
10314,485,2024-04-08,April,2024,1.26,182,4G,Normal Usage
10315,173,2022-05-10,May,2022,3.40,37,4G,Normal Usage
10316,160,2023-07-21,July,2023,2.17,115,5G,Normal Usage
10317,164,2024-06-08,June,2024,1.23,101,4G,Normal Usage
10318,465,2023-09-01,September,2023,0.47,7,4G,Normal Usage
10319,483,2024-04-27,April,2024,0.64,217,4G,Normal Usage
10320,497,2023-08-22,August,2023,2.14,206,5G,Normal Usage
10321,188,2024-03-16,March,2024,1.38,77,4G,Normal Usage
10322,395,2023-09-23,September,2023,1.81,54,4G,Normal Usage
10323,191,2023-12-21,December,2023,0.47,227,4G,Normal Usage
10324,405,2022-11-30,November,2022,2.72,87,5G,Normal Usage
10325,308,2022-06-03,June,2022,4.79,9,5G,Normal Usage
10326,256,2023-07-01,July,2023,0.75,289,4G,Normal Usage
10327,183,2022-03-20,March,2022,1.69,163,4G,Normal Usage
10328,117,2023-08-02,August,2023,9.28,238,5G,High Usage
10329,282,2024-05-04,May,2024,1.01,143,4G,Normal Usage
10330,196,2023-02-17,February,2023,2.26,17,5G,Normal Usage
10331,34,2023-06-30,June,2023,0.24,70,4G,Normal Usage
10332,52,2023-09-01,September,2023,2.33,174,4G,Normal Usage
10333,112,2022-06-18,June,2022,0.23,287,5G,Normal Usage
10334,252,2023-11-12,November,2023,8.00,298,4G,High Usage
10335,82,2023-10-25,October,2023,3.14,247,4G,Normal Usage
10336,232,2023-08-06,August,2023,3.88,192,4G,Normal Usage
10337,227,2023-05-30,May,2023,3.04,267,5G,Normal Usage
10338,233,2022-11-10,November,2022,2.23,203,4G,Normal Usage
10339,221,2022-02-01,February,2022,1.49,122,4G,Normal Usage
10340,436,2022-10-14,October,2022,4.89,57,5G,Normal Usage
10341,413,2023-08-17,August,2023,7.86,200,4G,High Usage
10342,422,2022-02-12,February,2022,1.73,111,4G,Normal Usage
10343,42,2023-09-09,September,2023,6.70,127,4G,High Usage
10344,21,2022-01-01,January,2022,2.19,35,5G,Normal Usage
10345,42,2023-07-27,July,2023,1.93,233,4G,Normal Usage
10346,397,2022-09-27,September,2022,1.52,46,4G,Normal Usage
10347,113,2022-06-29,June,2022,0.59,114,4G,Normal Usage
10348,105,2024-01-06,January,2024,0.01,254,5G,Normal Usage
10349,192,2023-06-02,June,2023,0.69,222,5G,Normal Usage
10350,17,2022-04-13,April,2022,1.78,123,4G,Normal Usage
10351,120,2022-01-10,January,2022,1.19,159,4G,Normal Usage
10352,393,2023-08-06,August,2023,1.49,95,5G,Normal Usage
10353,425,2022-03-31,March,2022,9.86,106,4G,High Usage
10354,129,2022-08-14,August,2022,1.08,119,5G,Normal Usage
10355,130,2023-11-01,November,2023,1.50,100,4G,Normal Usage
10356,60,2024-01-10,January,2024,0.36,102,4G,Normal Usage
10357,48,2022-05-06,May,2022,0.12,165,4G,Normal Usage
10358,29,2022-07-28,July,2022,3.73,185,5G,Normal Usage
10359,97,2022-04-07,April,2022,2.11,31,4G,Normal Usage
10360,10,2022-03-15,March,2022,3.58,65,4G,Normal Usage
10361,242,2023-09-19,September,2023,0.41,178,4G,Normal Usage
10362,314,2022-07-10,July,2022,2.12,266,4G,Normal Usage
10363,444,2023-11-13,November,2023,0.73,36,4G,Normal Usage
10364,232,2024-03-29,March,2024,0.65,200,4G,Normal Usage
10365,277,2023-12-17,December,2023,0.03,48,5G,Normal Usage
10366,284,2022-02-25,February,2022,0.35,274,4G,Normal Usage
10367,203,2023-12-21,December,2023,0.93,167,5G,Normal Usage
10368,247,2023-07-07,July,2023,0.31,262,4G,Normal Usage
10369,290,2022-02-01,February,2022,10.65,132,4G,High Usage
10370,264,2023-06-11,June,2023,0.92,297,4G,Normal Usage
10371,443,2023-07-28,July,2023,0.35,175,5G,Normal Usage
10372,214,2023-10-29,October,2023,0.55,10,5G,Normal Usage
10373,200,2022-10-11,October,2022,2.22,200,4G,Normal Usage
10374,433,2023-12-22,December,2023,0.17,296,5G,Normal Usage
10375,79,2024-04-11,April,2024,4.96,2,4G,Normal Usage
10376,401,2023-05-09,May,2023,8.14,213,4G,High Usage
10377,444,2022-07-06,July,2022,0.71,295,4G,Normal Usage
10378,343,2023-05-13,May,2023,1.50,31,4G,Normal Usage
10379,344,2023-03-18,March,2023,0.06,47,4G,Normal Usage
10380,173,2022-05-10,May,2022,2.56,251,5G,Normal Usage
10381,467,2023-10-01,October,2023,1.34,198,4G,Normal Usage
10382,69,2022-10-19,October,2022,0.79,88,5G,Normal Usage
10383,416,2022-04-24,April,2022,0.58,108,4G,Normal Usage
10384,428,2022-07-18,July,2022,2.65,290,4G,Normal Usage
10385,449,2022-01-13,January,2022,1.35,107,5G,Normal Usage
10386,87,2022-09-28,September,2022,0.50,39,5G,Normal Usage
10387,101,2023-08-24,August,2023,2.92,51,5G,Normal Usage
10388,8,2022-08-03,August,2022,2.08,111,4G,Normal Usage
10389,333,2023-03-20,March,2023,4.89,294,5G,Normal Usage
10390,200,2024-02-29,February,2024,0.31,67,5G,Normal Usage
10391,87,2023-05-27,May,2023,3.85,188,4G,Normal Usage
10392,43,2023-03-23,March,2023,2.80,208,4G,Normal Usage
10393,385,2023-12-16,December,2023,0.31,64,4G,Normal Usage
10394,109,2022-03-15,March,2022,2.97,61,4G,Normal Usage
10395,435,2023-06-21,June,2023,1.46,257,4G,Normal Usage
10396,408,2022-04-11,April,2022,7.25,133,5G,High Usage
10397,483,2022-06-25,June,2022,0.38,121,4G,Normal Usage
10398,152,2023-03-03,March,2023,2.57,170,5G,Normal Usage
10399,17,2022-04-27,April,2022,1.20,209,4G,Normal Usage
10400,133,2022-06-15,June,2022,7.86,295,4G,High Usage
10401,148,2022-02-10,February,2022,1.00,88,4G,Normal Usage
10402,277,2023-03-05,March,2023,8.19,166,4G,High Usage
10403,232,2022-12-10,December,2022,5.79,27,5G,Normal Usage
10404,314,2023-02-28,February,2023,0.79,237,5G,Normal Usage
10405,415,2023-01-01,January,2023,4.07,62,4G,Normal Usage
10406,366,2022-04-30,April,2022,13.57,254,5G,High Usage
10407,228,2023-09-01,September,2023,0.73,40,4G,Normal Usage
10408,139,2023-10-19,October,2023,1.44,28,4G,Normal Usage
10409,436,2023-12-29,December,2023,1.84,278,4G,Normal Usage
10410,399,2022-08-17,August,2022,0.87,79,4G,Normal Usage
10411,211,2024-04-04,April,2024,0.04,50,4G,Normal Usage
10412,391,2022-05-10,May,2022,0.62,111,4G,Normal Usage
10413,499,2022-12-18,December,2022,0.83,89,4G,Normal Usage
10414,28,2024-06-07,June,2024,1.47,228,5G,Normal Usage
10415,51,2022-11-14,November,2022,0.47,149,4G,Normal Usage
10416,491,2023-10-11,October,2023,5.16,242,4G,Normal Usage
10417,442,2024-04-15,April,2024,3.05,137,4G,Normal Usage
10418,261,2022-12-03,December,2022,0.22,134,5G,Normal Usage
10419,261,2022-09-30,September,2022,2.63,88,5G,Normal Usage
10420,350,2022-04-27,April,2022,2.65,14,5G,Normal Usage
10421,352,2024-03-28,March,2024,7.82,173,4G,High Usage
10422,8,2023-01-03,January,2023,0.01,89,4G,Normal Usage
10423,320,2022-04-04,April,2022,0.71,212,5G,Normal Usage
